-183.202, 74.877, 1.936,  3.613
-183.197, 74.813, 1.943,  3.646
-183.192, 74.748, 1.950,  3.679
-183.186, 74.683, 1.957,  3.712
-183.181, 74.618, 1.964,  3.745
-183.175, 74.553, 1.971,  3.778
-183.169, 74.487, 1.978,  3.811
-183.164, 74.421, 1.985,  3.844
-183.158, 74.355, 1.992,  3.877
-183.153, 74.289, 2.000,  3.910
-183.147, 74.222, 2.007,  3.943
-183.141, 74.155, 2.014,  3.976
-183.136, 74.088, 2.021,  4.009
-183.130, 74.021, 2.028,  4.042
-183.124, 73.953, 2.035,  4.075
-183.119, 73.885, 2.042,  4.108
-183.113, 73.817, 2.050,  4.141
-183.108, 73.749, 2.057,  4.174
-183.102, 73.681, 2.064,  4.207
-183.097, 73.612, 2.071,  4.240
-183.091, 73.543, 2.079,  4.273
-183.086, 73.474, 2.086,  4.306
-183.080, 73.404, 2.093,  4.339
-183.074, 73.334, 2.101,  4.372
-183.069, 73.264, 2.108,  4.405
-183.063, 73.194, 2.116,  4.438
-183.057, 73.124, 2.123,  4.471
-183.052, 73.053, 2.131,  4.504
-183.046, 72.982, 2.138,  4.537
-183.040, 72.911, 2.145,  4.570
-183.034, 72.839, 2.153,  4.603
-183.029, 72.768, 2.160,  4.636
-183.023, 72.696, 2.168,  4.669
-183.018, 72.623, 2.175,  4.702
-183.012, 72.551, 2.183,  4.735
-183.007, 72.478, 2.191,  4.768
-183.001, 72.405, 2.198,  4.801
-182.996, 72.332, 2.206,  4.834
-182.990, 72.258, 2.214,  4.867
-182.984, 72.185, 2.221,  4.900
-182.979, 72.110, 2.229,  4.933
-182.973, 72.036, 2.237,  4.966
-182.967, 71.962, 2.244,  4.999
-182.961, 71.887, 2.252,  5.032
-182.956, 71.812, 2.260,  5.065
-182.950, 71.737, 2.268,  5.098
-182.945, 71.661, 2.276,  5.131
-182.939, 71.585, 2.284,  5.164
-182.934, 71.509, 2.292,  5.197
-182.928, 71.433, 2.300,  5.230
-182.922, 71.356, 2.308,  5.263
-182.917, 71.279, 2.316,  5.296
-182.911, 71.202, 2.323,  5.329
-182.906, 71.124, 2.331,  5.362
-182.900, 71.047, 2.339,  5.395
-182.894, 70.969, 2.347,  5.428
-182.888, 70.890, 2.355,  5.461
-182.883, 70.812, 2.363,  5.494
-182.877, 70.733, 2.371,  5.527
-182.872, 70.654, 2.380,  5.560
-182.866, 70.575, 2.388,  5.593
-182.861, 70.495, 2.396,  5.626
-182.855, 70.415, 2.404,  5.659
-182.850, 70.335, 2.413,  5.692
-182.844, 70.255, 2.421,  5.725
-182.838, 70.174, 2.429,  5.758
-182.833, 70.093, 2.437,  5.791
-182.827, 70.012, 2.445,  5.824
-182.821, 69.930, 2.454,  5.857
-182.816, 69.848, 2.462,  5.890
-182.810, 69.766, 2.471,  5.923
-182.805, 69.684, 2.479,  5.956
-182.799, 69.601, 2.488,  5.989
-182.794, 69.518, 2.497,  6.022
-182.788, 69.435, 2.505,  6.055
-182.783, 69.351, 2.514,  6.088
-182.777, 69.268, 2.522,  6.121
-182.771, 69.183, 2.531,  6.154
-182.766, 69.099, 2.539,  6.187
-182.760, 69.014, 2.548,  6.220
-182.755, 68.929, 2.557,  6.253
-182.749, 68.844, 2.565,  6.286
-182.743, 68.759, 2.574,  6.319
-182.738, 68.673, 2.583,  6.352
-182.733, 68.587, 2.591,  6.385
-182.727, 68.500, 2.600,  6.418
-182.722, 68.413, 2.609,  6.451
-182.716, 68.326, 2.618,  6.484
-182.711, 68.239, 2.627,  6.517
-182.705, 68.151, 2.636,  6.550
-182.700, 68.064, 2.645,  6.583
-182.694, 67.975, 2.654,  6.616
-182.688, 67.887, 2.663,  6.649
-182.683, 67.798, 2.672,  6.682
-182.677, 67.709, 2.681,  6.715
-182.672, 67.619, 2.691,  6.748
-182.667, 67.530, 2.700,  6.781
-182.661, 67.440, 2.708,  6.814
-182.656, 67.349, 2.717,  6.847
-182.650, 67.259, 2.727,  6.880
-182.645, 67.168, 2.736,  6.913
-182.639, 67.076, 2.745,  6.946
-182.634, 66.985, 2.755,  6.979
-182.628, 66.893, 2.764,  7.012
-182.623, 66.801, 2.774,  7.045
-182.617, 66.708, 2.783,  7.078
-182.611, 66.615, 2.792,  7.111
-182.606, 66.522, 2.802,  7.144
-182.600, 66.429, 2.811,  7.177
-182.595, 66.335, 2.821,  7.210
-182.589, 66.241, 2.830,  7.243
-182.583, 66.146, 2.840,  7.276
-182.578, 66.052, 2.850,  7.309
-182.572, 65.957, 2.859,  7.342
-182.566, 65.861, 2.869,  7.375
-182.560, 65.766, 2.879,  7.408
-182.555, 65.670, 2.889,  7.441
-182.549, 65.573, 2.898,  7.474
-182.544, 65.476, 2.908,  7.507
-182.538, 65.379, 2.918,  7.540
-182.533, 65.282, 2.927,  7.573
